Domain,Notes,Status,Sent 1,Replied 1,Spam Rate 1
opmk.pro,,Not Warming,,,
optimal.reviews,,Not Warming,,,
optimalagencyleads.com,,Warming,492.0,86.0,16.23%
optimalinsuranceagency.com,,Warming,852.0,259.0,5.24%
optimalinsuranceleads.com,,Warming,546.0,86.0,21.56%
optimalmarketers.com,,Warming,593.0,86.0,9.61%
optimalmarketingleads.com,,Warming,502.0,86.0,8.58%
optimalmarketingpros.com,,Warming,489.0,86.0,9.77%
optimalmarketingteam.com,,Warming,578.0,86.0,21.16%
optimalmktg.com,,Warming,513.0,86.0,20.85%
optimalpros.co,,Not Warming,,,
optimalpros.com,,Not Warming,,,
optimalpros.email,,Not Warming,,,
optimalquotemachine.com,,Warming,855.0,259.0,4.15%
optimalsempros.com,,Warming,548.0,86.0,14.86%
optimalseopros.com,,Warming,839.0,259.0,7.22%